Mn_ID,Cpt_ID,Ext_ID,concept_id,extra_icd10_block,extra_icd10_chapter,name,icd10_map_type,icd10_code,icd10_name,ciel_map_type,ciel_code,ncod_concept_url,icd10_concept_url,ciel_concept_url
111,302,321,1791,D50,"Blood, Immune System",Anaemia (Iron deficiency anaemia),Same as,D50.9,"Iron deficiency anaemia, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1791/,/orgs/WHO/sources/ICD-10-WHO/concepts/D50.9/,
,303,322,1860,D60,"Blood, Immune System",Anaemia (Idiopathic aplastic anaemia),Same as,D61.3,Idiopathic aplastic anaemia,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1860/,/orgs/WHO/sources/ICD-10-WHO/concepts/D61.3/,
,304,323,1861,D60,"Blood, Immune System",Pancytopenia (Other specified aplastic anaemias),Narrower than,D61.8,Other specified aplastic anaemias,SAME-AS,148106,/orgs/EthiopiaMOH/sources/NCoD/concepts/1861/,/orgs/WHO/sources/ICD-10-WHO/concepts/D61.8/,/orgs/CIEL/sources/CIEL/concepts/148106/
,305,324,1863,D60,"Blood, Immune System",Anaemia (Acute posthaemorrhagic anaemia),Same as,D62,Acute posthaemorrhagic anaemia,SAME-AS,149566,/orgs/EthiopiaMOH/sources/NCoD/concepts/1863/,/orgs/WHO/sources/ICD-10-WHO/concepts/D62/,/orgs/CIEL/sources/CIEL/concepts/149566/
112,306,325,1873,D60,"Blood, Immune System",Other specified anaemias,Same as,D64.8,Other specified anaemias,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1873/,/orgs/WHO/sources/ICD-10-WHO/concepts/D64.8/,
113,307,326,1874,D60,"Blood, Immune System","Anaemia (Anaemia, unspecified)",Same as,D64.9,"Anaemia, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1874/,/orgs/WHO/sources/ICD-10-WHO/concepts/D64.9/,
,308,327,1883,D65,"Blood, Immune System",Papulosquamous Diseases (Acquired coagulation factor deficiency),Same as,D68.4,Acquired coagulation factor deficiency,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1883/,/orgs/WHO/sources/ICD-10-WHO/concepts/D68.4/,
,309,328,1889,D65,"Blood, Immune System",Purpura (Allergic purpura),Same as,D69.0,Allergic purpura,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1889/,/orgs/WHO/sources/ICD-10-WHO/concepts/D69.0/,
,310,329,1895,D65,"Blood, Immune System","Thrombocytopenia (Thrombocytopenia, unspecified)",Same as,D69.6,"Thrombocytopenia, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1895/,/orgs/WHO/sources/ICD-10-WHO/concepts/D69.6/,
,311,330,1906,D70,"Blood, Immune System",Hyposplenism,Same as,D73.0,Hyposplenism,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1906/,/orgs/WHO/sources/ICD-10-WHO/concepts/D73.0/,
,312,331,1907,D70,"Blood, Immune System",Hypersplenism,Same as,D73.1,Hypersplenism,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1907/,/orgs/WHO/sources/ICD-10-WHO/concepts/D73.1/,
