Indicator ID,HMIS Category 1,HMIS Category 2,HMIS Category 3,HMIS Category 4,Indicator Title,Definition,Class,Datatype,Formula Type,Formula: Numerator,Formula: Denominator,Formula: Multiplier,Interpretation,Disaggregation,Recommendation,Primary Sources,Reporting Frequency,Applicable Reporting Units,Instruments,HSTP Indicator Map,WHO IMR Mappings,Logical Groupings,Notes
C1.1.1.1,C1: Access to Health Service,C1.1 Maternal and Child Health,C.1.1 Maternal Health,,Contraceptive acceptance rate,The proportion of women of reproductive age (15-49 years) who are not pregnant and are accepting a modern contraceptive method (new and repeat acceptors).  ,Indicator,Numeric,Indicator,Number of new and repeat acceptors,Total number of women of reproductive age (15-49) who are not pregnant,100,"This indicator is directly related to operations: for contraception utilization (and prevalence) to increase, the numbers of both new and repeat acceptors should increase. Each acceptor is counted only once, the first time s/he receives contraceptive services in the fiscal year.
“New acceptors” refers to the number of acceptors who receive family planning services from a recognized program for the first time irrespective of the method used. This is not the number of consultations. Each acceptor is enumerated once in the year, at the first consultation for contraception in the calendar year. 
“Repeat acceptors” refers to the number of acceptors who receive family planning services from a family planning program previously irrespective of the method used.  Long acting FP method users will also be counted as repeat every year including routine checkup for ongoing use of a long term method such as Norplant, IUD, etc.
New and repeat contraceptive acceptors are reported as two separate counts, so it is possible to calculate each rate separately as needed. Acceptor data reported from NGOs and other community-based non MOH sources can also be included in this calculation.","By acceptors: New, repeat
Age: 15-19, 20-24, 25-49 years
By  Methods: Pills, Injectables, Implants, IUD and Others",,"Family planning register; Service delivery tally (for HP), RH register (for primary private clinics), Pre-ART, ART registers",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,20,"Similar to WHO 5: Contraceptive Prevalence. WHO specifies marriage/in-union, and does not state ""not pregnant"".
http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=5",,
C1.1.1.2,C1: Access to Health Service,C1.1 Maternal and Child Health,C.1.1 Maternal Health,,Antenatal care coverage – First visit,The percentage of women that received antenatal care at least once during the current pregnancy.,Indicator,Numeric,Indicator,Number of pregnant women that received antenatal care at least once,Total number of expected pregnancies,100,Antenatal care coverage is an indicator of access and use of health care during pregnancy. The antenatal period presents opportunities for reaching pregnant women with interventions that may be vital to their health and wellbeing and to their infants. Receiving antenatal care at least four times increases the likelihood of receiving effective maternal health interventions during antenatal visits. This is an MDG indicator.,None,,"ANC register, Service delivery tally (for HP), RH register (for primary private clinics)",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,"MDG...

Similar to WHO 81: Antenatal care coverage - at least one visit. WHO denominator is total with a live birth, rather than expected pregnancies
http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=81",,MDG Indicator
C1.1.1.3,C1: Access to Health Service,C1.1 Maternal and Child Health,C.1.1 Maternal Health,,Antenatal care coverage - four visits,The percentage of women that received antenatal care four or more times during the current pregnancy.,Indicator,Numeric,Indicator,Number of pregnant women that received antenatal care at least four visits,Total number of expected pregnancies,100,The fourth antenatal care visit is an indicator of quality and use of health care during pregnancy. The antenatal period presents opportunities for reaching pregnant women with interventions that may be vital to their health and wellbeing and to their infants. Receiving four focused antenatal care visits increases the likelihood of receiving effective maternal health interventions during antenatal visits. This is an MDG indicator.,None,,"ANC register, Service delivery tally (for HP), RH register (for primary private clinics)",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,23,"MDG...

Similar to WHO 80: Antenatal care coverage - at least four visits. WHO denominator is total with a live birth, rather than expected pregnancies
http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=80",,MDG Indicator
C1.1.1.4,C1: Access to Health Service,C1.1 Maternal and Child Health,C.1.1 Maternal Health,,Percentage of pregnant women attending antenatal care clinics tested for syphilis,Percentage of pregnant women attending antenatal care clinics tested for syphilis.,Indicator,Numeric,Indicator,Number of pregnant women tested for syphilis ,Total number of  pregnant mothers attended at least one ANC visit,100,"Syphilis affects the health of pregnant mothers and their fetus. It may cause abortion, still birth, premature birth and congenital anomalies. Performing syphilis screening test on all pregnant mothers who attend antenatal care helps to detect the disease early so that appropriate treatment can be provided to protect the mother and the fetus from complications.  ",None,,ANC Register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,"No WHO Mapping. 

Similar to an STI Mapping",,
C1.1.1.5,C1: Access to Health Service,C1.1 Maternal and Child Health,C.1.1 Maternal Health,,Proportion of births attended by skilled health professional,Proportion of births attended by skilled health personnel. ,Indicator,Numeric,Indicator,The number of births attended by skilled health personnel,Total number of expected Deliveries,100,"All women should have access to skilled care during pregnancy and childbirth to ensure prevention, early detection and management of complications. Assistance by properly trained health personnel with adequate equipment is key to reducing maternal deaths. It is the single most important proved intervention that plays a great role in reducing the maternal mortality rate and is one of the MDG indicators to track national effort towards safe motherhood.  In addition, the proportion of births attended by skilled personnel at the given facility is a measure of the health system’s function, accessibility, and quality of care.   “Skilled attendant at birth” has been proposed as an intermediary, process or proxy indicator for monitoring progress towards the reduction of maternal mortality, which is highly correlated with maternal mortality levels.

A skilled personnel is defined as a health professional (such as a midwife, nurse, health officer or doctor) who has been trained in the skills needed to manage normal (uncomplicated) pregnancies, childbirth and the immediate postnatal period, and in the identification, management and referral of complications in women and newborns. This definition excludes health extension workers and traditional birth attendants, whether trained or not.",None,,Delivery Register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,24,"Similar to WHO 25: Births attended by skilled health personnel. WHO denominator is total live births, rather than expected deliveries
http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=25",,
C1.1.1.6,C1: Access to Health Service,C1.1 Maternal and Child Health,C.1.1 Maternal Health,,Proportion of births attended by health extension workers at Health Post,Proportion of births attended by health extension workers at health post (clean and safe delivery).,Indicator,Numeric,Indicator,The number of births attended by health extension workers at Health Post,Total number of expected Deliveries,100,"This indicator singles out the activities of the national HEP, in which clean and safe delivery services by HEWs is included as one of the activities.  This indicator reflects the proportion of delivery services provided by HEWs.  Besides reflecting the extent of implementation of the HEP, it can be used to determine and plan for additional training or facility capacity building needs to provide delivery service. This indicator counts only those deliveries which were assisted by HEWs at health post level. Deliveries assisted at home are not included here.",None,,Service delivery tally (for HP),Monthly,"HP, HC/Clinic, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,"At the reporting level, the HC/Clinic states: *N.B.HC aggregates reports received from HPs & sends to WorHO."
C1.1.1.7,C1: Access to Health Service,C1.1 Maternal and Child Health,C.1.1 Maternal Health,,Early postnatal care coverage,Proportion of women who attended post natal care at least once during the early post-partum period (within 7 days after delivery).  ,Indicator,Numeric,Indicator,Number of postnatal visits within 7 days of delivery,Total number of expected Deliveries,100,"Early Postnatal care (PNC) coverage is the proportion of women and newborns who get care, at least once during the first 7 days after delivery for reasons relating to post-partum services.  For mothers who delivered in a health facility, the first post-partum visit is a visit after discharge. Prolonged stay after delivery in a health facility doesn’t count as a postpartum visit.  Even though the post-partum period is 6 weeks (42 days) after delivery, the reproductive health program especially encourages a visit within the first 7 days, and specifically the first 2 days, after delivery. It is considered critical. This indicator shows the utilization (accessibility and acceptability) of postnatal care. "," 0-48 hours (0-2 days)
 
49-72 hours (2-3 days)

73 hours-7 days (4-7 days)",,"Service delivery tally (for HP), postnatal care register; RH register (for primary private clinics)",Monthly,"HP, HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,25,"Similar to WHO 2972: Postnatal care visit within two days of childbirth. WHO is 2 days, Ethiopia is 7.
http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2972",,
C1.1.1.8,C1: Access to Health Service,C1.1 Maternal and Child Health,C.1.1 Maternal Health,,Caesarean section rate,Percentage of births by caesarean section among all live births in a given time period.,Indicator,Numeric,Indicator,Number of women having given birth by caesarean section ,Total number of expected Deliveries,100,"The percentage of births by caesarean section is an indicator of access to and use of health care during childbirth. Caesarean section rate is one of the process indicators that tells about the availability and quality of Comprehensive Emergency Obstetric Care (CEmONC) in the country. Five-fifteen percent of all pregnancies are expected to end up in complications and may require a caesarean section intervention. Therefore, C/S rate is expected to be between 5 and 15%. ",None,,Delivery Register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,"WHO 68: Births by caesarean section.
http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=68",,
C1.1.1.9,C1: Access to Health Service,C1.1 Maternal and Child Health,C.1.1 Maternal Health,,"Number of women receiving comprehensive abortion care services ",Number of women receiving comprehensive abortion care.  It includes women who get safe abortion and emergency post abortion care. ,Indicator,Numeric,Count,Number of women receiving comprehensive abortion care services (safe abortion and post abortion care),,,"In Ethiopia, complications resulting from abortions account for one third of all maternal deaths. The Government of Ethiopia has enacted legislation that asks health care providers to provide safe abortion service for exceptional circumstances when the woman asks for, and consents to, the service. 

This indicator measures the burden of unplanned pregnancy, access to services, and tracks the implementation of the law.","Age: <18 yrs, 18+: Safe abortion, Post abortion care",,Abortion care register,Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None,,,
C1.1.1.10,C1: Access to Health Service,C1.1 Maternal and Child Health,C.1.1 Maternal Health,,Institutional maternal deaths ,The proportion of maternal deaths from any cause related to or aggravated by pregnancy or its management in a health facility,Indicator,Numeric,Indicator,Number of maternal deaths in health facility,Total number of deliveries in health facility,100,"Maternal death is the death of a woman from conditions caused or aggravated by pregnancy, which occurs from time of conception to six weeks postpartum, but not from incidental or accidental causes. The cause of death could be direct – abortion, hemorrhage, hypertension, obstructed labor or sepsis; or could be indirect like heart disease aggravated by pregnancy, or malaria in pregnancy. Ideally, the institutional proportion of maternal deaths should be less than 1%.  Five major obstetric complications are known to be the major cause of maternal mortality: hemorrhage (post-partum, ante-partum), ruptured uterus, eclampsia, obstructed labor, infection. These conditions are in the HMIS disease classification list for inpatient morbidity and mortality. The fatality rate for all five conditions taken together should be less than 1% of all deliveries.  The reasons for every maternal death in a health institution should be investigated and appropriate quality/service improvements measures taken.",None,,"Inpatient department registers. To capture all maternal deaths it is essential to review death registers from surgical, medical, obstetric, and gynecological wards, from OPD (for deaths before admission), and from the delivery register.  ",Monthly,"HC/Clinic, Hospital, WorHO, ZHD/ScHO, RHB, FMOH",,None - 2?,"Similar to WHO 4622: Maternal deaths. WHO does not specify that the death must occur at a health facility
http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=4622",,
