Indicator ID,Original HSTP Indicator ID,Mapping Category,HSTP Category 1,HSTP Category 2,Indicator Title,Indicator Type,Datatype,Baseline,Yearly Target 1,Yearly Target 2,Yearly Target 3,Yearly Target 4,Yearly Target 5,Data Source,Periodicity,Level of Data Collection,Notes For MOH Review,"MOH Mapping Exercise from ""Indicators_present in HSTP but not HMIS.xlsx""","Renee
HMIS Indicator Mapping Exercise (in progress)",Additional Notes
1,1,Survey,C1: Improve health status,,Life Expectancy at Birth (years),Impact,Numeric,64,,,,69,,Census/World Health Statistics,10 years,Population,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Not found,,
2,2,Survey,C1: Improve health status,,"Maternal Mortality Ratio (MMR) per 100,000 live births (LB)",Impact,Numeric,420,,,,199,,EDHS/Vital registration,5 years,Population,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Expected in HMIS,"Similar to:
C1.1.1.10 (Institutional maternal deaths) and C1.1.1.11 (Number of maternal deaths in the community)",
3,3,Survey,C1: Improve health status,,"Under 5 year mortality - per 1,000 LB",Impact,Numeric,64,,,,30,,EDHS/Vital registration,5 years,Population,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Expected in HMIS,Not found,
4,4,Survey,C1: Improve health status,,"Infant mortality rate per 1,000 LB",Impact,Numeric,44,,,,20,,EDHS/Vital registration,5 years,Population,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Expected in HMIS,Not found,
5,5,Survey,C1: Improve health status,,"Neonatal mortality rate per 1,000 LB",Impact,Numeric,28,,,,10,,EDHS/Vital registration,5 years,Population,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Expected in HMIS,"Similar to:
C1.1.3.11 (Early institutional neonatal death rate) and C1.1.3.12 (Early Neonatal death rate at community)",
6,6,Survey,C1: Improve health status,,Stunting prevalence in children aged less than 5 years (%),Impact,Numeric,40,,,,26,,EDHS,5 years,Population,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Expected in HMIS,Not found,
7,7,Survey,C1: Improve health status,,Wasting prevalence in children aged less than 5 years (%),Impact,Numeric,9,,,,4.9,,EDHS,5 years,Population,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Expected in HMIS,Not found,
8,8,Survey,C1: Improve health status,,Under weight prevalence in children aged less than 5 years (%),Impact,Numeric,25,,,,13,,EDHS,5 years,Population,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Expected in HMIS,C1.2.2 (Percentage of underweight Children aged <5 years),
9,9,Survey,C1: Improve health status,,HIV incidence rate (%),Impact,Numeric,0.03,,,,60% reduction from 2010 status,,ANC Surveillance,2-3 years,ANC surveillance sites,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Expected in HMIS,Not found,
10,10,Survey,C1: Improve health status,,HIV new infection among children (%),Impact,Numeric,12,,,,Zero new infection,,Special Survey,2-3 Years,Health facilities,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Not found,,
11,11,Survey,C1: Improve health status,,"TB Prevalence Rate (per 100,000 populations)",Impact,Numeric,211,,,,137,,WHO Global TB report/National TB Prevalence Survey,Annual/5 years,Population,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Not found,,
12,12,Survey,C1: Improve health status,,"TB Incidence Rate (per 100,000 populations)",Impact,Numeric,224,,,,156,,WHO Global TB report,Annual,Population,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Not found,,
13,13,Survey,C1: Improve health status,,"TB Mortality Rate (per 100,000 populations)",Impact,Numeric,32,,,,17,,WHO Global TB report,Annual,Population,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Expected in HMIS,Not found,
14,14,HMIS Match,C1: Improve health status,,Malaria case incidence,Impact,Numeric,NA,,,,40% reduction compared with 2015 status,,MIS,3-5 years,Population,Yearly target #4 appears that it should be for Year #5. Recommend moving to Year 5. Requires MOH review.,Expected in HMIS,C1.4.2.5.3 (Malaria positivity rate),
