concept_id,Extended_ID,Compact_ID,Mini_ID,ICD10-Block,ICD10-Chapter,Ethiopia Extended Name,Ethiopia Compact Name,Ethiopia Mini Name,Discrepancy among Ethiopia Names,Stripped Name,Ethiopia Name: Harmonized,Final-Name,Changes made to name? Yes/No,Notes on Final Name,WHO_ID,Orginal ICD10 Match: WHO_ID,ICD10 Match: Stripped Name,Discrepancy between ICD10 Match,Final ICD-10 Map Type,Final ICD-10 Map,Reference Only: ICD-10 Name,Change made to ICD-10 Map (based on WHO_ID)? Yes/No,Notes on Final ICD-10 Map,SAME-AS CIEL Map (Optional),SAME-AS ICD-10-CM Mapping (Optional),Secondary Mapping to WHO ICD-10 (Optional),Additional FMOH Action Recommended,Recommended Action for FMOH,Consolidated Review History
1,1,1,1,A00,Infectious & Parasitic,Cholera,Cholera,Cholera,No,Cholera,Cholera,Cholera,No,,1,A00.-,A00.-,No,Same As,A00.9,"Cholera, unspecified",Yes,"Mapped to A00.9 ""Cholera Unspecified"" rather than category header ""A00.-"". Should not map directly to category headers unless no descendants are defined.",,,,No,,
2,2,2,,A00,Infectious & Parasitic,Typhoid Fever (due to Salmonella typhi),Typhoid Fever (due to Salmonella typhi),,No,Typhoid Fever,Typhoid Fever (due to Salmonella typhi),Typhoid Fever (due to Salmonella typhi),No,,6,A01.0,A01.0,No,Same As,A01.0,Typhoid fever,No,,,,,Yes,"#2 and #4 are duplicate codes -- both would be mapped to A01.0 and ""Typhoid Fever due to Salmonella Typhi"" is the definition of ""Typhoid fever"" with no further description. Note that #3 ""Typhoid Fever with other complications"" is a more granular form of Typhoid. If desired, it would be acceptable to shift #4 to ""Typhoid Fever without complications"", then #2-4 would each be distinct.","DT: Possible duplicate code. See notes associated to extended codes ""3 Typhoid Fever (With Other Complications)"" and ""4 Typhoid Fever"".

FMOH: not a duplicate; some diseases are not listed in detail by causative agents (pathology) in ICD-10, thus ICD-CM style is applied. Meaning, diseases found in our study, but unlisted in ICD-10, are mapped to the same WHO code. Please understand the aforementioned senario apply for almost all cases that you identified as duplicates 

ASK: This IS a duplicate. Typhoid Fever is called by Salmonella typhi and this was a header term. I would retire this term and use MD_ID 3."
3,3,3,2,A00,Infectious & Parasitic,Typhoid Fever (With Other Complications),Typhoid Fever (With Other Complications),Typhoid Fever (With Other Complications),No,Typhoid Fever,Typhoid Fever (With Other Complications),Typhoid Fever (With Other Complications),No,,6,A01.0,A01.0,No,Narrower Than,A01.0,Typhoid fever,No,,,,,Yes,See comment for #3,"DT: Further specificity found in ICD-10-CM. Confirm use of ICD-10-CM Code.

FMOH: ICD10-CM is a detail of ICD10, but just for clinical management/reporting purpose. Similarly, diseases picked by our study together with program-based reporting were not specified in ICD10. Hence, we systematically customized and mapped those diseases to ICD10."
4,4,4,3,A00,Infectious & Parasitic,Typhoid Fever,Typhoid Fever,Typhoid Fever,No,Typhoid fever,Typhoid Fever,Typhoid Fever,No,,6,A01.0,A01.0,No,Same As,A01.0,Typhoid fever,No,,,,,Yes,See comment for #3,"DT: Further specificity found in ICD-10-CM. Confirm use of ICD-10-CM Code.

FMOH: ICD10-CM is a detail of ICD10, but just for clinical management/reporting purpose. Similarly, diseases picked by our study together with program-based reporting were not specified in ICD10. Hence, we systematically customized and mapped those diseases to ICD10.

ASK: This is a preferred term. CIEL 141. Do not use ICD-10-CM, although could create an ICD-10-EM concept for Typhoid with complication and Typhoid without complication"
5,5,5,,A00,Infectious & Parasitic,Salmonella enteritis,Salmonella enteritis,,No,Salmonella enteritis,Salmonella enteritis,Salmonella enteritis,No,,12,A02.0,A02.0,No,Same As,A02.0,Salmonella enteritis,No,,,,,No,,
6,6,6,,A00,Infectious & Parasitic,Sepsis (Salmonella sepsis),Sepsis (Salmonella sepsis),,No,Salmonella sepsis,Sepsis (Salmonella sepsis),Sepsis (Salmonella sepsis),No,,13,A02.1,A02.1,No,Same As,A02.1,Salmonella sepsis,No,,,,,No,,
7,7,7,,A00,Infectious & Parasitic,"Salmonella infection, unspecified","Salmonella infection, unspecified",,No,"Salmonella infection, unspecified","Salmonella infection, unspecified","Salmonella infection, unspecified",No,,16,A02.9,A02.9,No,Same As,A02.9,"Salmonella infection, unspecified",No,,,,,No,,
8,8,8,4,A00,Infectious & Parasitic,Diarrhea (Shigellosis due to Shigella dysenteriae),Diarrhea (Shigellosis due to Shigella dysenteriae),Diarrhea (Shigellosis due to Shigella dysenteriae),No,Shigellosis due to Shigella dysenteriae,Diarrhea (Shigellosis due to Shigella dysenteriae),Diarrhea (Shigellosis due to Shigella dysenteriae),No,,18,A03.0,A03.0,No,Same As,A03.0,Shigellosis due to Shigella dysenteriae,No,,,,,No,,
9,9,9,,A00,Infectious & Parasitic,"Shigellosis (Shigellosis, unspecified)","Shigellosis (Shigellosis, unspecified)",,No,"Shigellosis, unspecified","Shigellosis (Shigellosis, unspecified)","Shigellosis (Shigellosis, unspecified)",No,,23,A03.9,A03.9,No,Same As,A03.9,"Shigellosis, unspecified",No,,,,,No,,
10,10,10,,A00,Infectious & Parasitic,Escherichia Coli Infection (Enterohaemorrhagic Escherichia coli infection),Escherichia Coli Infection (Enterohaemorrhagic Escherichia coli infection),,No,Enterohaemorrhagic Escherichia coli infection,Escherichia Coli Infection (Enterohaemorrhagic Escherichia coli infection),Escherichia Coli Infection (Enterohaemorrhagic Escherichia coli infection),No,,28,A04.3,A04.3,No,Same As,A04.3,Enterohaemorrhagic Escherichia coli infection,No,,,,,No,,
