concept_id,extra_icd10_block,extra_icd10_chapter,name
1,A00,Infectious & Parasitic,Cholera
2,A00,Infectious & Parasitic,Typhoid Fever (due to Salmonella typhi)
3,A00,Infectious & Parasitic,Typhoid Fever (With Other Complications)
4,A00,Infectious & Parasitic,Typhoid Fever
5,A00,Infectious & Parasitic,Salmonella enteritis
6,A00,Infectious & Parasitic,Sepsis (Salmonella sepsis)
7,A00,Infectious & Parasitic,"Salmonella infection, unspecified"
8,A00,Infectious & Parasitic,Diarrhea (Shigellosis due to Shigella dysenteriae)
9,A00,Infectious & Parasitic,"Shigellosis (Shigellosis, unspecified)"
10,A00,Infectious & Parasitic,Escherichia Coli Infection (Enterohaemorrhagic Escherichia coli infection)
11,A00,Infectious & Parasitic,Enteritis (Campylobacter enteritis)
12,A00,Infectious & Parasitic,Enteritis (Enteritis due to Yersinia enterocolitica)
13,A00,Infectious & Parasitic,"Infection (Bacterial intestinal infection, unspecified)"
14,A00,Infectious & Parasitic,Intoxications [Foodborne] (Foodborne staphylococcal intoxication)
15,A00,Infectious & Parasitic,Botulism
16,A00,Infectious & Parasitic,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
17,A00,Infectious & Parasitic,Other specified bacterial foodborne intoxications
18,A00,Infectious & Parasitic,"Intoxication (Bacterial foodborne intoxication, unspecified)"
19,A00,Infectious & Parasitic,Amoebiasis
20,A00,Infectious & Parasitic,Amoebiasis (Acute amoebic dysentery)
21,A00,Infectious & Parasitic,Amoebiasis (Chronic intestinal amoebiasis)
22,A00,Infectious & Parasitic,Amoebiasis (Amoebic nondysenteric colitis)
23,A00,Infectious & Parasitic,Amoebiasis (Amoeboma of intestine)
24,A00,Infectious & Parasitic,Amebiasis (Amoebic liver abscess)
25,A00,Infectious & Parasitic,Amebiasis (Amoebic lung abscess)
26,A00,Infectious & Parasitic,Amebiasis (Amoebic brain abscess)
27,A00,Infectious & Parasitic,Amebiasis (Amoebic infection of other sites)
28,A00,Infectious & Parasitic,Giardiasis (Giardiasis [lambliasis])
29,A00,Infectious & Parasitic,Cryptosporidiosis
30,A00,Infectious & Parasitic,Acute gastroenteropathy due to Norwalk agent
31,A00,Infectious & Parasitic,Enteritis (Other viral enteritis)
32,A00,Infectious & Parasitic,"Viral intestinal infection, unspecified"
33,A00,Infectious & Parasitic,Gastroenteritis and colitis of unspecified origin
34,A15,Infectious & Parasitic,Tuberculosis (Respiratory; bacteriologically and histologically confirmed)
35,A15,Infectious & Parasitic,"Tuberculosis (Tuberculosis of lung, confirmed by sputum microscopy with or without culture)"
36,A15,Infectious & Parasitic,"Tuberculosis of lung, confirmed histologically"
37,A15,Infectious & Parasitic,"Tuberculosis of lung, confirmed by unspecified means"
38,A15,Infectious & Parasitic,"Tuberculosis (Primary respiratory tuberculosis, confirmed bacteriologically and histologically)"
39,A15,Infectious & Parasitic,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
40,A15,Infectious & Parasitic,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
41,A15,Infectious & Parasitic,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
42,A15,Infectious & Parasitic,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
43,A15,Infectious & Parasitic,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
44,A15,Infectious & Parasitic,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
45,A15,Infectious & Parasitic,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
46,A15,Infectious & Parasitic,Tuberculosis of nervous system
47,A15,Infectious & Parasitic,Tuberculosis (Meningeal tuberculoma)
48,A15,Infectious & Parasitic,Tuberculosis (Tuberculosis of other organs)
49,A15,Infectious & Parasitic,Tuberculosis of bones and joints
50,A15,Infectious & Parasitic,Tuberculosis of genitourinary system
51,A15,Infectious & Parasitic,"Tuberculosis of intestines, peritoneum and mesenteric glands"
52,A15,Infectious & Parasitic,Tuberculosis (Tuberculosis of skin and subcutaneous tissue)
53,A15,Infectious & Parasitic,Tuberculosis (Tuberculosis of ear)
54,A15,Infectious & Parasitic,Miliary tuberculosis
55,A15,Infectious & Parasitic,Tuberculosis (Acute miliary tuberculosis of a single specified site)
56,A15,Infectious & Parasitic,Acute miliary tuberculosis of multiple sites
57,A15,Infectious & Parasitic,"Acute miliary tuberculosis, unspecified"
58,A15,Infectious & Parasitic,"Tuberculosis (Miliary tuberculosis, unspecified)"
59,A20,Infectious & Parasitic,Tularemia (Tularaemia)
60,A20,Infectious & Parasitic,Anthrax
61,A30,Infectious & Parasitic,Leprosy (Tuberculoid leprosy)
62,A30,Infectious & Parasitic,Leprosy (Borderline leprosy)
63,A30,Infectious & Parasitic,Leprosy (Lepromatous leprosy)
64,A30,Infectious & Parasitic,"Leprosy (Leprosy, unspecified)"
65,A30,Infectious & Parasitic,Listeriosis (Cutaneous listeriosis)
66,A30,Infectious & Parasitic,Tetanus (Tetanus neonatorum)
67,A30,Infectious & Parasitic,Diphtheria (Nasopharyngeal)
68,A30,Infectious & Parasitic,"Diphtheria (Diphtheria, unspecified)"
69,A30,Infectious & Parasitic,Meningitis (Meningococcal meningitis)
70,A30,Infectious & Parasitic,Sepsis (Streptococcal sepsis)
71,A30,Infectious & Parasitic,Sepsis (Other sepsis)
72,A30,Infectious & Parasitic,Sepsis (Sepsis due to Staphylococcus aureus)
73,A30,Infectious & Parasitic,Sepsis (Sepsis due to unspecified staphylococcus)
74,A30,Infectious & Parasitic,Sepsis (Sepsis due to anaerobes)
75,A30,Infectious & Parasitic,Sepsis (Sepsis due to other Gram-negative organisms)
76,A30,Infectious & Parasitic,Sepsis (Other specified sepsis)
77,A30,Infectious & Parasitic,"Sepsis (Sepsis, unspecified)"
78,A30,Infectious & Parasitic,Erysipelas
79,A30,Infectious & Parasitic,"Bacterial Diseases (Other bacterial diseases, not elsewhere classified)"
80,A30,Infectious & Parasitic,Gangrene (Gas gangrene)
81,A30,Infectious & Parasitic,Toxic shock syndrome
82,A30,Infectious & Parasitic,Infection (Bacterial infection of unspecified site)
83,A30,Infectious & Parasitic,"Bacterial infection, unspecified"
84,A50,Infectious & Parasitic,Congenital syphilis
85,A50,Infectious & Parasitic,Early syphilis
86,A50,Infectious & Parasitic,Syphilis (Primary genital syphilis)
87,A50,Infectious & Parasitic,Primary syphilis of other sites
88,A50,Infectious & Parasitic,Other secondary syphilis
89,A50,Infectious & Parasitic,Late syphilis
90,A50,Infectious & Parasitic,"Syphilis (Syphilis, unspecified)"
91,A50,Infectious & Parasitic,Gonococcal Infection
92,A50,Infectious & Parasitic,"Sexual Transmission (Gonococcal infection, unspecified)"
93,A50,Infectious & Parasitic,Chancroid (Chlamydial lymphogranuloma (venereum))
94,A50,Infectious & Parasitic,Chlamydial Infection (Chlamydial infection of lower genitourinary tract)
95,A50,Infectious & Parasitic,Sexual Transmission (Chlamydial infection of anus and rectum)
96,A50,Infectious & Parasitic,Chlamydial lymphogranuloma (venereum) (Chancroid)
97,A50,Infectious & Parasitic,Trichomoniasis (Trichomoni vaginalis)
98,A50,Infectious & Parasitic,Sexual Transmission (Anogenital herpesviral [herpes simplex] infection)
99,A50,Infectious & Parasitic,Herpesviral Infection (Herpesviral infection of perianal skin and rectum)
100,A50,Infectious & Parasitic,"Herpesviral (Anogenital herpesviral infection, unspecified)"
101,A50,Infectious & Parasitic,Genital wart (Condyloma Acumunata) (Anogenital (venereal) warts)
102,A50,Infectious & Parasitic,Herpesviral (Other specified predominantly sexually transmitted diseases)
103,A50,Infectious & Parasitic,Sexually Transmitted Disease (Unspecified sexually transmitted disease)
104,A65,Infectious & Parasitic,Relapsing Fever (Relapsing fevers (Spirochaetal))
105,A65,Infectious & Parasitic,Louse-borne relapsing fever
106,A65,Infectious & Parasitic,"Relapsing fever, unspecified"
107,A65,Infectious & Parasitic,Other spirochaetal infections
108,A65,Infectious & Parasitic,Cancrum Oris (Necrotizing ulcerative stomatitis)
109,A65,Infectious & Parasitic,Arthritis (Lyme disease)
110,A70,Infectious & Parasitic,Trachoma
111,A70,Infectious & Parasitic,Initial stage of trachoma
