en_name_preferred,en_name_non_preferred_1,en_name_non_preferred_2,en_name_non_preferred_3,en_name_non_preferred_4,en_name_non_preferred_5,fr_name_preferred,fr_name_non_preferred_1,fr_name_non_preferred_2,fr_name_non_preferred_3,fr_name_non_preferred_4,fr_name_non_preferred_5,ISO-639-2.1,ISO-639-2.2,ISO-639-1
Abkhazian,,,,,,abkhaze,,,,,,abk,,ab
Achinese,,,,,,aceh,,,,,,ace,,
Acoli,,,,,,acoli,,,,,,ach,,
Adangme,,,,,,adangme,,,,,,ada,,
Adygei,Adyghe,,,,,adyghé,,,,,,ady,,
Afar,,,,,,afar,,,,,,aar,,aa
Afrihili,,,,,,afrihili,,,,,,afh,,
Afrikaans,,,,,,afrikaans,,,,,,afr,,af
Afro-Asiatic languages,,,,,,"afro-asiatiques, langues",,,,,,afa,,
Ainu,,,,,,aïnou,,,,,,ain,,
Akan,,,,,,akan,,,,,,aka,,ak
Akkadian,,,,,,akkadien,,,,,,akk,,
Albanian,,,,,,albanais,,,,,,alb,sqi,sq
Alemannic,Swiss German,Alsatian,,,,suisse alémanique,alémanique,alsacien,,,,gsw,,
Aleut,,,,,,aléoute,,,,,,ale,,
Algonquian languages,,,,,,"algonquines, langues",,,,,,alg,,
Altaic languages,,,,,,"altaïques, langues",,,,,,tut,,
Amharic,,,,,,amharique,,,,,,amh,,am
Angika,,,,,,angika,,,,,,anp,,
Apache languages,,,,,,"apaches, langues",,,,,,apa,,
Arabic,,,,,,arabe,,,,,,ara,,ar
Aragonese,,,,,,aragonais,,,,,,arg,,an
Arapaho,,,,,,arapaho,,,,,,arp,,
Arawak,,,,,,arawak,,,,,,arw,,
Armenian,,,,,,arménien,,,,,,arm,hye,hy
Aromanian,Arumanian,Macedo-Romanian,,,,aroumain,macédo-roumain,,,,,rup,,
Artificial languages,,,,,,"artificielles, langues",,,,,,art,,
Assamese,,,,,,assamais,,,,,,asm,,as
Asturian,Bable,Leonese,Asturleonese,,,asturien,bable,asturoléonais,léonais,,,ast,,
Athapascan languages,,,,,,"athapascanes, langues",,,,,,ath,,
Australian languages,,,,,,"australiennes, langues",,,,,,aus,,
Austronesian languages,,,,,,"austronésiennes, langues",,,,,,map,,
Avaric,,,,,,avar,,,,,,ava,,av
Avestan,,,,,,avestique,,,,,,ave,,ae
Awadhi,,,,,,awadhi,,,,,,awa,,
Aymara,,,,,,aymara,,,,,,aym,,ay
Azerbaijani,,,,,,azéri,,,,,,aze,,az
Balinese,,,,,,balinais,,,,,,ban,,
Baltic languages,,,,,,"baltes, langues",,,,,,bat,,
Baluchi,,,,,,baloutchi,,,,,,bal,,
Bambara,,,,,,bambara,,,,,,bam,,bm
Bamileke languages,,,,,,"bamiléké, langues",,,,,,bai,,
Banda languages,,,,,,"banda, langues",,,,,,bad,,
Bantu languages,,,,,,"bantou, langues",,,,,,bnt,,
Basa,,,,,,basa,,,,,,bas,,
Bashkir,,,,,,bachkir,,,,,,bak,,ba
Basque,,,,,,basque,,,,,,baq,eus,eu
Batak languages,,,,,,"batak, langues",,,,,,btk,,
Beja,Bedawiyet,,,,,bedja,,,,,,bej,,
Belarusian,,,,,,biélorusse,,,,,,bel,,be
Bemba,,,,,,bemba,,,,,,bem,,
Bengali,,,,,,bengali,,,,,,ben,,bn
Berber languages,,,,,,"berbères, langues",,,,,,ber,,
Bhojpuri,,,,,,bhojpuri,,,,,,bho,,
Bihari languages,,,,,,langues biharis,,,,,,bih,,bh
Bikol,,,,,,bikol,,,,,,bik,,
Bini,Edo,,,,,bini,edo,,,,,bin,,
Bislama,,,,,,bichlamar,,,,,,bis,,bi
Blin,Bilin,,,,,blin,bilen,,,,,byn,,
Bliss,Blissymbols,Blissymbolics,,,,symboles Bliss,Bliss,,,,,zbl,,
Bosnian,,,,,,bosniaque,,,,,,bos,,bs
Braj,,,,,,braj,,,,,,bra,,
Breton,,,,,,breton,,,,,,bre,,br
Buginese,,,,,,bugi,,,,,,bug,,
Bulgarian,,,,,,bulgare,,,,,,bul,,bg
Buriat,,,,,,bouriate,,,,,,bua,,
Burmese,,,,,,birman,,,,,,bur,mya,my
Caddo,,,,,,caddo,,,,,,cad,,
Catalan,Valencian,,,,,catalan,valencien,,,,,cat,,ca
Caucasian languages,,,,,,"caucasiennes, langues",,,,,,cau,,
Cebuano,,,,,,cebuano,,,,,,ceb,,
Celtic languages,,,,,,"celtiques, langues","celtes, langues",,,,,cel,,
Central American Indian languages,,,,,,"amérindiennes de l'Amérique centrale,  langues",,,,,,cai,,
Central Khmer,,,,,,khmer central,,,,,,khm,,km
Chagatai,,,,,,djaghataï,,,,,,chg,,
Chamic languages,,,,,,"chames, langues",,,,,,cmc,,
Chamorro,,,,,,chamorro,,,,,,cha,,ch
Chechen,,,,,,tchétchène,,,,,,che,,ce
Cherokee,,,,,,cherokee,,,,,,chr,,
Chewa,Chichewa,Nyanja,,,,chichewa,chewa,nyanja,,,,nya,,ny
Cheyenne,,,,,,cheyenne,,,,,,chy,,
Chibcha,,,,,,chibcha,,,,,,chb,,
Chinese,,,,,,chinois,,,,,,chi,zho,zh
Chinook jargon,,,,,,"chinook, jargon",,,,,,chn,,
Chipewyan,Dene Suline,,,,,chipewyan,,,,,,chp,,
